filed_date,fiscal_year,form,fiscal_period,company,ticker,category,year,date,industrykey,sectorkey,close,volume,Revenue,NetIncomeLoss,OperatingIncomeLoss,Assets,Liabilities,StockholdersEquity,IncomeTaxExpenseBenefit,CommonStockSharesOutstanding,Assets_lag1,CommonStockSharesOutstanding_lag1,IncomeTaxExpenseBenefit_lag1,Liabilities_lag1,NetIncomeLoss_lag1,OperatingIncomeLoss_lag1,StockholdersEquity_lag1,Revenue_lag1,close_lag1,volume_lag1
2021-03-05,2020,10-K,FY,DoorDash,DASH,gig,2020,2020-12-31,internet-retail,consumer-cyclical,142.75,2637300.0,291000000.0,-204000000.0,-210000000.0,1732000000.0,550000000.0,-198000000.0,0.0,399990946.1708861,,,,,,,,,,
2022-03-01,2021,10-K,FY,DoorDash,DASH,gig,2021,2021-12-31,internet-retail,consumer-cyclical,148.89999389648438,2297900.0,885000000.0,-667000000.0,-616000000.0,6353000000.0,1653000000.0,-436000000.0,1000000.0,399990946.1708861,6353000000.0,399990946.1708861,2000000.0,1653000000.0,-129000000.0,-131000000.0,-1082000000.0,1916000000.0,142.75,2637300.0
2023-02-27,2022,10-K,FY,DoorDash,DASH,gig,2022,2022-12-31,internet-retail,consumer-cyclical,48.81999969482422,3193300.0,2886000000.0,-461000000.0,-436000000.0,6809000000.0,2142000000.0,-1082000000.0,3000000.0,399990946.1708861,6809000000.0,399990946.1708861,3000000.0,2142000000.0,-110000000.0,-298000000.0,4700000000.0,3588000000.0,148.89999389648438,2297900.0
2024-02-20,2023,10-K,FY,DoorDash,DASH,gig,2023,2023-12-31,internet-retail,consumer-cyclical,98.88999938964844,2525700.0,4888000000.0,-468000000.0,-452000000.0,9789000000.0,3021000000.0,4700000000.0,5000000.0,399990946.1708861,9789000000.0,399990946.1708861,-14000000.0,3021000000.0,-167000000.0,-754000000.0,4667000000.0,4765000000.0,48.81999969482422,3193300.0
2025-02-14,2024,10-K,FY,DoorDash,DASH,gig,2024,2024-12-31,internet-retail,consumer-cyclical,167.75,1241300.0,6583000000.0,-1365000000.0,-1124000000.0,10839000000.0,4026000000.0,4667000000.0,-31000000.0,399990946.1708861,10839000000.0,399990946.1708861,14000000.0,4026000000.0,-161000000.0,-490000000.0,6754000000.0,6332000000.0,98.88999938964844,2525700.0
2026-02-18,2025,10-K,FY,DoorDash,DASH,gig,2025,2025-12-31,internet-retail,consumer-cyclical,228.1300048828125,2546500.0,8635000000.0,-558000000.0,-579000000.0,12845000000.0,5035000000.0,6754000000.0,31000000.0,399990946.1708861,12845000000.0,399990946.1708861,2000000.0,5035000000.0,-23000000.0,-155000000.0,6806000000.0,7849000000.0,167.75,1241300.0
2016-03-01,2015,10-K,FY,Etsy,ETSY,gig,2015,2015-12-31,internet-retail,consumer-cyclical,8.260000228881836,1213000.0,125022000.0,-796000.0,733000.0,246203000.0,98903000.0,-652000.0,854000.0,33082948.0,249135000.0,44180939.0,1880000.0,101835000.0,-9885000.0,-6427000.0,67088000.0,130679000.0,,
2017-02-28,2016,10-K,FY,Etsy,ETSY,gig,2016,2016-12-31,internet-retail,consumer-cyclical,11.779999732971191,960300.0,195591000.0,-15243000.0,-6251000.0,553061000.0,222563000.0,4003000.0,4983000.0,44180393.0,553061000.0,112563354.0,19729000.0,222563000.0,-49831000.0,-10300000.0,330498000.0,185604000.0,8.260000228881836,1213000.0
2018-03-01,2017,10-K,FY,Etsy,ETSY,gig,2017,2017-12-31,internet-retail,consumer-cyclical,20.450000762939453,1285900.0,273499000.0,-54063000.0,-1884000.0,581193000.0,236436000.0,67088000.0,26069000.0,115973039.0,581193000.0,115973039.0,22238000.0,236436000.0,-8518000.0,14125000.0,344757000.0,254758000.0,11.779999732971191,960300.0
2019-02-28,2018,10-K,FY,Etsy,ETSY,gig,2018,2018-12-31,internet-retail,consumer-cyclical,47.56999969482422,1527000.0,364967000.0,-29901000.0,17577000.0,605583000.0,208689000.0,330498000.0,27025000.0,121769238.0,605583000.0,121769238.0,-23051000.0,208689000.0,37050000.0,-6394000.0,396894000.0,304963000.0,20.450000762939453,1285900.0
2020-02-27,2019,10-K,FY,Etsy,ETSY,gig,2019,2019-12-31,internet-retail,consumer-cyclical,44.29999923706055,2325000.0,441231000.0,81800000.0,11896000.0,901851000.0,500953000.0,344757000.0,-49535000.0,119771702.0,901851000.0,119771702.0,-4038000.0,500953000.0,12967000.0,45297000.0,396894000.0,403665000.0,47.56999969482422,1527000.0
2021-02-26,2020,10-K,FY,Etsy,ETSY,gig,2020,2020-12-31,internet-retail,consumer-cyclical,177.91000366210938,2076900.0,603693000.0,77491000.0,74786000.0,1542352000.0,1135718000.0,396894000.0,-22413000.0,118342772.0,1542352000.0,118342772.0,-6708000.0,1135718000.0,64603000.0,63723000.0,400898000.0,548381000.0,44.29999923706055,2325000.0
2022-02-25,2021,10-K,FY,Etsy,ETSY,gig,2021,2021-12-31,internet-retail,consumer-cyclical,218.94000244140625,1298800.0,818379000.0,95894000.0,88761000.0,2404489000.0,1662065000.0,400898000.0,-15248000.0,125835931.0,2404489000.0,125835931.0,11694000.0,1662065000.0,200708000.0,262674000.0,406634000.0,1108270000.0,177.91000366210938,2076900.0
2023-02-23,2022,10-K,FY,Etsy,ETSY,gig,2022,2022-12-31,internet-retail,consumer-cyclical,119.77999877929688,2153700.0,1725625000.0,349246000.0,424009000.0,3831809000.0,3203190000.0,406634000.0,16463000.0,127022118.0,3831809000.0,127022118.0,-4669000.0,3203190000.0,331950000.0,323483000.0,742424000.0,1611975000.0,218.94000244140625,1298800.0
2024-02-22,2023,10-K,FY,Etsy,ETSY,gig,2023,2023-12-31,internet-retail,consumer-cyclical,81.05000305175781,2397100.0,2329114000.0,493507000.0,465732000.0,2634961000.0,3182235000.0,742424000.0,-21853000.0,125054278.0,2634961000.0,125054278.0,13968000.0,3182235000.0,-803836000.0,-797904000.0,628619000.0,1758870000.0,119.77999877929688,2153700.0
2025-02-19,2024,10-K,FY,Etsy,ETSY,gig,2024,2024-12-31,internet-retail,consumer-cyclical,52.88999938964844,3910100.0,2566111000.0,-694288000.0,-658560000.0,2685400000.0,3229115000.0,628619000.0,32310000.0,119069000.0,2685400000.0,119069000.0,-40650000.0,3229115000.0,224302000.0,164383000.0,-547274000.0,1906055000.0,81.05000305175781,2397100.0
2026-02-19,2025,10-K,FY,Etsy,ETSY,gig,2025,2025-12-31,internet-retail,consumer-cyclical,55.36000061035156,2432300.0,2748377000.0,307568000.0,279841000.0,2417782000.0,3176648000.0,-547274000.0,-14748000.0,108540000.0,2417782000.0,108540000.0,59067000.0,3176648000.0,173375000.0,225076000.0,-543715000.0,1956170000.0,52.88999938964844,3910100.0
2011-02-22,2010,10-K,FY,Herbalife,HLF,mlm,2010,2010-12-31,packaged-foods,consumer-defensive,16.037757873535156,728800.0,3334400000.0,221190000.0,332252000.0,1146050000.0,786739000.0,182244000.0,97840000.0,60200000.0,1146050000.0,60200000.0,60169000.0,786739000.0,147690000.0,211946000.0,359311000.0,3334400000.0,9.351798057556152,1263200.0
2012-02-21,2011,10-K,FY,Herbalife,HLF,mlm,2011,2011-12-31,packaged-foods,consumer-defensive,24.540632247924805,1252000.0,3334400000.0,203346000.0,296031000.0,1232220000.0,745008000.0,241731000.0,87582000.0,120500000.0,1232220000.0,117800000.0,62048000.0,745008000.0,212930000.0,281269000.0,487212000.0,3334400000.0,16.037757873535156,728800.0
2013-02-19,2012,10-K,FY,Herbalife,HLF,mlm,2012,2012-12-31,packaged-foods,consumer-defensive,16.014554977416992,32691000.0,3334400000.0,299215000.0,387512000.0,1446209000.0,886021000.0,359311000.0,80880000.0,117800000.0,1446209000.0,115800000.0,116852000.0,886021000.0,307221000.0,427921000.0,560188000.0,3334400000.0,24.540632247924805,1252000.0
2014-02-18,2013,10-K,FY,Herbalife,HLF,mlm,2013,2013-12-31,packaged-foods,consumer-defensive,39.174537658691406,2007600.0,3334400000.0,414959000.0,562270000.0,1724143000.0,1328660000.0,473996000.0,144820000.0,115800000.0,1463075000.0,106900000.0,87212000.0,914931000.0,292883000.0,501654000.0,548144000.0,3334400000.0,16.014554977416992,32691000.0
2015-02-26,2014,10-K,FY,Herbalife,HLF,mlm,2014,2014-12-31,packaged-foods,consumer-defensive,18.850000381469727,2937600.0,3334400000.0,464000000.0,661400000.0,2473700000.0,1922300000.0,548200000.0,186900000.0,106900000.0,2473701000.0,101100000.0,133775000.0,1922255000.0,403985000.0,553418000.0,551446000.0,3334400000.0,39.174537658691406,2007600.0
2016-02-25,2015,10-K,FY,Herbalife,HLF,mlm,2015,2015-12-31,packaged-foods,consumer-defensive,26.809999465942383,1273000.0,3334400000.0,527500000.0,735300000.0,2355000000.0,2689400000.0,395500000.0,189200000.0,101100000.0,2374900000.0,92200000.0,76900000.0,2709300000.0,205400000.0,351500000.0,-334400000.0,3334400000.0,18.850000381469727,2937600.0
2017-02-23,2016,10-K,FY,Herbalife,HLF,mlm,2016,2016-12-31,packaged-foods,consumer-defensive,24.06999969482422,1935000.0,3334400000.0,308700000.0,513500000.0,2477900000.0,2531400000.0,551400000.0,112600000.0,92200000.0,2477900000.0,92700000.0,114800000.0,2531400000.0,254600000.0,441000000.0,-53500000.0,3334400000.0,26.809999465942383,1273000.0
2018-02-22,2017,10-K,FY,Herbalife,HLF,mlm,2017,2017-12-31,packaged-foods,consumer-defensive,33.86000061035156,1229000.0,3334400000.0,339100000.0,583600000.0,2565400000.0,2369100000.0,-334400000.0,147300000.0,92700000.0,2565400000.0,93100000.0,69200000.0,2369100000.0,160600000.0,299900000.0,196300000.0,3334400000.0,24.06999969482422,1935000.0
2019-02-19,2018,10-K,FY,Herbalife,HLF,mlm,2018,2018-12-31,packaged-foods,consumer-defensive,58.95000076293945,1013800.0,4488400000.0,260000000.0,458100000.0,2895100000.0,3229800000.0,-53500000.0,104700000.0,186300000.0,2895100000.0,164700000.0,84200000.0,3229800000.0,277300000.0,468000000.0,-334700000.0,3334400000.0,33.86000061035156,1229000.0
2020-02-18,2019,10-K,FY,Herbalife,HLF,mlm,2019,2019-12-31,packaged-foods,consumer-defensive,47.66999816894531,1548400.0,4427700000.0,213900000.0,617100000.0,2789800000.0,3513200000.0,196300000.0,257300000.0,164700000.0,2789800000.0,142800000.0,103100000.0,3513200000.0,247700000.0,534900000.0,-334700000.0,3705200000.0,58.95000076293945,1013800.0
2021-02-17,2020,10-K,FY,Herbalife,HLF,mlm,2020,2020-12-31,packaged-foods,consumer-defensive,48.04999923706055,368300.0,4891800000.0,296600000.0,683100000.0,2678600000.0,3068600000.0,-334700000.0,167600000.0,142800000.0,2678600000.0,137400000.0,117100000.0,3068600000.0,254300000.0,459700000.0,-723400000.0,3656800000.0,47.66999816894531,1548400.0
2022-02-23,2021,10-K,FY,Herbalife,HLF,mlm,2021,2021-12-31,packaged-foods,consumer-defensive,40.93000030517578,941000.0,4877100000.0,311000000.0,568100000.0,3076100000.0,3932200000.0,-723400000.0,140400000.0,137400000.0,3076100000.0,120100000.0,104400000.0,3932200000.0,298800000.0,492200000.0,-390000000.0,4131100000.0,48.04999923706055,368300.0
2023-02-14,2022,10-K,FY,Herbalife,HLF,mlm,2022,2022-12-31,packaged-foods,consumer-defensive,14.880000114440918,920600.0,5541800000.0,372600000.0,640600000.0,2819800000.0,4211300000.0,-390000000.0,143800000.0,120100000.0,2819800000.0,100800000.0,104200000.0,4211300000.0,409000000.0,649800000.0,-856100000.0,4484800000.0,40.93000030517578,941000.0
2024-02-14,2023,10-K,FY,Herbalife,HLF,mlm,2023,2023-12-31,packaged-foods,consumer-defensive,15.260000228881836,702900.0,5802800000.0,447200000.0,734100000.0,2732000000.0,3997900000.0,-856100000.0,113600000.0,100800000.0,2732000000.0,97900000.0,93500000.0,3997900000.0,266900000.0,456300000.0,-1391500000.0,4023600000.0,14.880000114440918,920600.0
2025-02-19,2024,10-K,FY,Herbalife,HLF,mlm,2024,2024-12-31,packaged-foods,consumer-defensive,6.690000057220459,1663000.0,5204400000.0,321300000.0,545200000.0,2809400000.0,3869700000.0,-1391500000.0,103500000.0,97900000.0,2809400000.0,99200000.0,53300000.0,3869700000.0,132000000.0,300600000.0,-1265900000.0,3847400000.0,15.260000228881836,702900.0
2026-02-18,2025,10-K,FY,Herbalife,HLF,mlm,2025,2025-12-31,packaged-foods,consumer-defensive,12.84000015258789,1851500.0,5062400000.0,142200000.0,356400000.0,2728100000.0,3529200000.0,-801100000.0,60800000.0,99200000.0,2728100000.0,101200000.0,40400000.0,3529200000.0,76400000.0,279400000.0,-801100000.0,3785700000.0,6.690000057220459,1663000.0
2024-03-05,2023,10-K,FY,Instacart,CART,gig,2023,2023-12-31,internet-retail,consumer-cyclical,23.46999931335449,1207300.0,1834000000.0,-73000000.0,-86000000.0,3669000000.0,911000000.0,-981000000.0,1000000.0,72230000.0,3669000000.0,72230000.0,-2000000.0,911000000.0,-82000000.0,-40000000.0,-573000000.0,1794000000.0,,
2025-02-28,2024,10-K,FY,Instacart,CART,gig,2024,2024-12-31,internet-retail,consumer-cyclical,41.41999816894531,1749600.0,2551000000.0,428000000.0,62000000.0,4727000000.0,800000000.0,-573000000.0,-357000000.0,279046000.0,4727000000.0,279046000.0,-376000000.0,800000000.0,128000000.0,-2188000000.0,-64000000.0,2239000000.0,23.46999931335449,1207300.0
2026-02-26,2025,10-K,FY,Instacart,CART,gig,2025,2025-12-31,internet-retail,consumer-cyclical,44.959999084472656,2330600.0,3042000000.0,-1622000000.0,-2142000000.0,4115000000.0,836000000.0,-64000000.0,-439000000.0,260964000.0,4115000000.0,260964000.0,77000000.0,836000000.0,130000000.0,334000000.0,3750000000.0,2495000000.0,41.41999816894531,1749600.0
2020-02-28,2019,10-K,FY,Lyft,LYFT,gig,2019,2019-12-31,software-application,technology,43.02000045776367,5499600.0,1059881000.0,-688301000.0,-708272000.0,3760043000.0,1479277000.0,-1303730000.0,556000.0,22438472.0,3760043000.0,22438472.0,1147000.0,1479277000.0,-234339000.0,-707688000.0,-1979438000.0,1487051000.0,,
2021-03-01,2020,10-K,FY,Lyft,LYFT,gig,2020,2020-12-31,software-application,technology,49.130001068115234,3224100.0,2156616000.0,-911335000.0,-977711000.0,5691383000.0,2837299000.0,-1979438000.0,738000.0,22438472.0,5691383000.0,22438472.0,4283000.0,2837299000.0,-1138473000.0,-2320666000.0,-2871281000.0,2598890000.0,43.02000045776367,5499600.0
2022-02-28,2021,10-K,FY,Lyft,LYFT,gig,2021,2021-12-31,software-application,technology,42.72999954223633,3235300.0,3615960000.0,-2602241000.0,-2702480000.0,4678964000.0,3002801000.0,-2871281000.0,2356000.0,22438472.0,4678964000.0,22438472.0,-42060000.0,3002801000.0,-398073000.0,-1354955000.0,2854084000.0,1794801000.0,49.130001068115234,3224100.0
