date,year,interest_rate_mtg_data_weekly,cpi_data_monthly,cpi_fesl_data_monthly,rec_sahm_data_monthly,rec_smooth_prob_data_monthly,rec_nber_data_monthly,unemployment_data_monthly,unemployment_level_data_monthly,all_employed_data_monthly,employment_population_ratio_data_monthly,labor_force_participation_data_monthly,m1_data_monthly,m2_data_monthly,m2_real_data_monthly,interest_rate_fedfunds_data_monthly,consumer_sentiment_data_monthly,consumer_sentiment_inflation_data_monthly,consumer_sentiment_composite_data_monthly,consumer_sentiment_composite_amplitude_data_monthly,job_openings_data_monthly,job_hires_data_monthly,job_separations_data_monthly,average_weekly_earnings_data_monthly,gdp_data_quarterly,gdp_real_data_quarterly,cpi_inflation_data_annual,median_income_real_data_annual,median_income_data_annual,Date,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,target
2010-01-01,2010,4.689807692307692,218.0761666666667,221.3358333333333,0.7516666666666666,0.2933333333333333,0.0,9.608333333333334,14807.75,130334.66666666669,58.475,64.70833333333333,1742.6666666666667,8645.591666666667,3964.375,0.175,71.84166666666667,2.783333333333333,77.29758666666667,98.34189,2589.6666666666665,3810.0,3707.75,770.9041666666667,15048.971,16789.750500000002,1.6400434423899,68420.0,49280.0,2010-12-31,2010.0,Herbalife,HLF,packaged-foods,consumer-defensive,16.037757873535156,728800.0,2.083333333333333,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,7.5,3.0,2.1666666666666665,2.833333333333333,21.33333333333333,15.916666666666666,0.0,0.0,0.0735420019467288
2010-01-01,2010,4.689807692307692,218.0761666666667,221.3358333333333,0.7516666666666666,0.2933333333333333,0.0,9.608333333333334,14807.75,130334.66666666669,58.475,64.70833333333333,1742.6666666666667,8645.591666666667,3964.375,0.175,71.84166666666667,2.783333333333333,77.29758666666667,98.34189,2589.6666666666665,3810.0,3707.75,770.9041666666667,15048.971,16789.750500000002,1.6400434423899,68420.0,49280.0,2010-12-31,2010.0,Primerica,PRI,insurance-life,financial-services,20.25223922729492,41700.0,2.083333333333333,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,7.5,3.0,2.1666666666666665,2.833333333333333,21.33333333333333,15.916666666666666,0.0,0.0,0.09286773303499427
2011-01-01,2011,4.447884615384615,224.923,225.0064166666667,0.025,0.3383333333333334,0.0,8.933333333333334,13738.5,131916.66666666666,58.375,64.10833333333333,2015.85,9282.525,4126.208333333333,0.1016666666666666,67.35000000000001,3.633333333333333,72.46480833333334,97.831105,3086.583333333333,4042.75,3841.1666666666665,791.2783333333333,15599.7315,17052.410499999998,3.156841568622,67410.0,50050.0,2011-12-31,2011.0,Herbalife,HLF,packaged-foods,consumer-defensive,24.540632247924805,1252000.0,2.083333333333333,0.0,0.0,0.0,1.0,0.1666666666666666,0.0,0.0,7.25,3.5,2.0,2.333333333333333,19.666666666666668,29.5,0.1666666666666666,0.0,0.10910681543428108
2011-01-01,2011,4.447884615384615,224.923,225.0064166666667,0.025,0.3383333333333334,0.0,8.933333333333334,13738.5,131916.66666666666,58.375,64.10833333333333,2015.85,9282.525,4126.208333333333,0.1016666666666666,67.35000000000001,3.633333333333333,72.46480833333334,97.831105,3086.583333333333,4042.75,3841.1666666666665,791.2783333333333,15599.7315,17052.410499999998,3.156841568622,67410.0,50050.0,2011-12-31,2011.0,Primerica,PRI,insurance-life,financial-services,19.500078201293945,210300.0,2.083333333333333,0.0,0.0,0.0,1.0,0.1666666666666666,0.0,0.0,7.25,3.5,2.0,2.333333333333333,19.666666666666668,29.5,0.1666666666666666,0.0,0.08669668375974865
2012-01-01,2012,3.6575,229.5860833333333,229.75683333333333,-0.0658333333333333,0.4283333333333334,0.0,8.075,12499.166666666666,134154.5,58.55833333333334,63.7,2324.1916666666666,10073.883333333331,4387.474999999999,0.14,76.54166666666667,3.2583333333333333,82.35452416666666,98.88993,3455.583333333333,4153.583333333333,3968.4166666666665,807.8666666666667,16253.97,17442.75925,2.06933726526067,67400.0,51020.0,2012-12-31,2012.0,Herbalife,HLF,packaged-foods,consumer-defensive,16.014554977416992,32691000.0,2.75,0.0,0.0,0.0,2.333333333333333,1.0833333333333333,0.0,0.0,6.666666666666667,4.666666666666667,1.9166666666666667,2.75,19.08333333333333,45.54166666666666,1.0416666666666667,0.0,0.06975403188600787
2012-01-01,2012,3.6575,229.5860833333333,229.75683333333333,-0.0658333333333333,0.4283333333333334,0.0,8.075,12499.166666666666,134154.5,58.55833333333334,63.7,2324.1916666666666,10073.883333333331,4387.474999999999,0.14,76.54166666666667,3.2583333333333333,82.35452416666666,98.88993,3455.583333333333,4153.583333333333,3968.4166666666665,807.8666666666667,16253.97,17442.75925,2.06933726526067,67400.0,51020.0,2012-12-31,2012.0,Primerica,PRI,insurance-life,financial-services,25.403711318969727,290200.0,2.75,0.0,0.0,0.0,2.333333333333333,1.0833333333333333,0.0,0.0,6.666666666666667,4.666666666666667,1.9166666666666667,2.75,19.08333333333333,45.54166666666666,1.0416666666666667,0.0,0.11065004877532747
2013-01-01,2013,3.9755769230769222,232.95175,233.81041666666667,-0.0683333333333333,0.375,0.0,7.358333333333333,11457.166666666666,136360.66666666666,58.6,63.25833333333333,2561.75,10752.341666666667,4615.5,0.1075,79.20833333333333,3.108333333333333,85.22370833333333,99.2166975,3669.3333333333335,4290.25,4091.8333333333335,825.0491666666667,16880.683250000002,17812.167,1.46483265562717,69950.0,53590.0,2013-12-31,2013.0,Herbalife,HLF,packaged-foods,consumer-defensive,39.174537658691406,2007600.0,6.666666666666667,1.25,0.0,0.0,3.9166666666666665,1.0,0.0,0.0,6.583333333333333,7.0,1.9166666666666667,3.0,18.416666666666668,52.96666666666667,1.1,0.0,0.16816588696453838
2013-01-01,2013,3.9755769230769222,232.95175,233.81041666666667,-0.0683333333333333,0.375,0.0,7.358333333333333,11457.166666666666,136360.66666666666,58.6,63.25833333333333,2561.75,10752.341666666667,4615.5,0.1075,79.20833333333333,3.108333333333333,85.22370833333333,99.2166975,3669.3333333333335,4290.25,4091.8333333333335,825.0491666666667,16880.683250000002,17812.167,1.46483265562717,69950.0,53590.0,2013-12-31,2013.0,Primerica,PRI,insurance-life,financial-services,36.76253890991211,180300.0,6.666666666666667,1.25,0.0,0.0,3.9166666666666665,1.0,0.0,0.0,6.583333333333333,7.0,1.9166666666666667,3.0,18.416666666666668,52.96666666666667,1.1,0.0,0.15781181686727877
2014-01-01,2014,4.168867924528302,236.715,237.90233333333333,-0.1025,0.44,0.0,6.158333333333334,9601.5,138922.75,59.00833333333333,62.88333333333333,2830.4833333333336,11414.425,4821.900000000001,0.0891666666666666,84.125,3.091666666666667,90.51375916666666,99.8051225,4323.333333333333,4611.75,4370.833333333333,844.0833333333334,17608.13825,18261.71425,1.62222297740817,69060.0,53660.0,2014-12-31,2014.0,Herbalife,HLF,packaged-foods,consumer-defensive,18.850000381469727,2937600.0,25.08333333333333,4.416666666666667,0.0,0.6666666666666666,7.0,1.0,0.0,0.0,6.25,7.416666666666667,1.9166666666666667,2.9166666666666665,17.5,56.107213803221065,2.063825767924377,1.0319128839621885,0.07963162613890006
2014-01-01,2014,4.168867924528302,236.715,237.90233333333333,-0.1025,0.44,0.0,6.158333333333334,9601.5,138922.75,59.00833333333333,62.88333333333333,2830.4833333333336,11414.425,4821.900000000001,0.0891666666666666,84.125,3.091666666666667,90.51375916666666,99.8051225,4323.333333333333,4611.75,4370.833333333333,844.0833333333334,17608.13825,18261.71425,1.62222297740817,69060.0,53660.0,2014-12-31,2014.0,Primerica,PRI,insurance-life,financial-services,46.969722747802734,249300.0,25.08333333333333,4.416666666666667,0.0,0.6666666666666666,7.0,1.0,0.0,0.0,6.25,7.416666666666667,1.9166666666666667,2.9166666666666665,17.5,56.107213803221065,2.063825767924377,1.0319128839621885,0.19842309421795296
2015-01-01,2015,3.8505769230769222,237.00175,242.2575,-0.0575,2.2116666666666664,0.0,5.275,8293.75,141801.33333333334,59.333333333333336,62.65833333333333,3040.7333333333336,12074.325,5094.458333333333,0.1325,92.94166666666666,2.733333333333333,100.00000833333333,100.82183333333334,5050.416666666667,4878.333333333333,4666.833333333333,863.5008333333334,18295.019,18799.622,0.118627135552451,72790.0,56520.0,2015-12-31,2015.0,Etsy,ETSY,internet-retail,consumer-cyclical,8.260000228881836,1213000.0,53.0,6.25,0.6666666666666666,1.25,7.833333333333333,1.6666666666666667,0.5833333333333334,0.0,6.416666666666667,5.5,2.0,3.0,17.333333333333332,55.327813423180295,2.818258712890145,1.620697262090537,0.034852064294385324
2015-01-01,2015,3.8505769230769222,237.00175,242.2575,-0.0575,2.2116666666666664,0.0,5.275,8293.75,141801.33333333334,59.333333333333336,62.65833333333333,3040.7333333333336,12074.325,5094.458333333333,0.1325,92.94166666666666,2.733333333333333,100.00000833333333,100.82183333333334,5050.416666666667,4878.333333333333,4666.833333333333,863.5008333333334,18295.019,18799.622,0.118627135552451,72790.0,56520.0,2015-12-31,2015.0,Shopify,SHOP,software-application,technology,2.5799999237060547,2349000.0,53.0,6.25,0.6666666666666666,1.25,7.833333333333333,1.6666666666666667,0.5833333333333334,0.0,6.416666666666667,5.5,2.0,3.0,17.333333333333332,55.327813423180295,2.818258712890145,1.620697262090537,0.010885995245630274
2015-01-01,2015,3.8505769230769222,237.00175,242.2575,-0.0575,2.2116666666666664,0.0,5.275,8293.75,141801.33333333334,59.333333333333336,62.65833333333333,3040.7333333333336,12074.325,5094.458333333333,0.1325,92.94166666666666,2.733333333333333,100.00000833333333,100.82183333333334,5050.416666666667,4878.333333333333,4666.833333333333,863.5008333333334,18295.019,18799.622,0.118627135552451,72790.0,56520.0,2015-12-31,2015.0,Herbalife,HLF,packaged-foods,consumer-defensive,26.809999465942383,1273000.0,53.0,6.25,0.6666666666666666,1.25,7.833333333333333,1.6666666666666667,0.5833333333333334,0.0,6.416666666666667,5.5,2.0,3.0,17.333333333333332,55.327813423180295,2.818258712890145,1.620697262090537,0.11312152533026607
2015-01-01,2015,3.8505769230769222,237.00175,242.2575,-0.0575,2.2116666666666664,0.0,5.275,8293.75,141801.33333333334,59.333333333333336,62.65833333333333,3040.7333333333336,12074.325,5094.458333333333,0.1325,92.94166666666666,2.733333333333333,100.00000833333333,100.82183333333334,5050.416666666667,4878.333333333333,4666.833333333333,863.5008333333334,18295.019,18799.622,0.118627135552451,72790.0,56520.0,2015-12-31,2015.0,Primerica,PRI,insurance-life,financial-services,41.43133544921875,281200.0,53.0,6.25,0.6666666666666666,1.25,7.833333333333333,1.6666666666666667,0.5833333333333334,0.0,6.416666666666667,5.5,2.0,3.0,17.333333333333332,55.327813423180295,2.818258712890145,1.620697262090537,0.1748144705649589
2016-01-01,2016,3.6540384615384616,240.00541666666663,247.6035833333333,0.0066666666666666,0.8583333333333334,0.0,4.875,7751.333333333333,144331.91666666666,59.73333333333333,62.8,3270.5916666666667,12892.066666666666,5371.2,0.395,91.84166666666664,2.5083333333333333,98.8164625,100.70656666666667,5333.333333333333,4958.25,4785.333333333333,882.8683333333333,18804.91325,19141.67225,1.26158320570536,75380.0,59040.0,2016-12-31,2016.0,Etsy,ETSY,internet-retail,consumer-cyclical,11.779999732971191,960300.0,77.0,13.833333333333334,2.0,1.3333333333333333,8.083333333333334,1.4166666666666667,1.0,0.0,6.083333333333333,6.166666666666667,1.9166666666666667,2.9166666666666665,17.333333333333332,50.8035299481621,4.268882143271854,1.5384799580507655,0.0490822244621751
2016-01-01,2016,3.6540384615384616,240.00541666666663,247.6035833333333,0.0066666666666666,0.8583333333333334,0.0,4.875,7751.333333333333,144331.91666666666,59.73333333333333,62.8,3270.5916666666667,12892.066666666666,5371.2,0.395,91.84166666666664,2.5083333333333333,98.8164625,100.70656666666667,5333.333333333333,4958.25,4785.333333333333,882.8683333333333,18804.91325,19141.67225,1.26158320570536,75380.0,59040.0,2016-12-31,2016.0,Shopify,SHOP,software-application,technology,4.287000179290772,4069000.0,77.0,13.833333333333334,2.0,1.3333333333333333,8.083333333333334,1.4166666666666667,1.0,0.0,6.083333333333333,6.166666666666667,1.9166666666666667,2.9166666666666665,17.333333333333332,50.8035299481621,4.268882143271854,1.5384799580507655,0.01786209760942523
2016-01-01,2016,3.6540384615384616,240.00541666666663,247.6035833333333,0.0066666666666666,0.8583333333333334,0.0,4.875,7751.333333333333,144331.91666666666,59.73333333333333,62.8,3270.5916666666667,12892.066666666666,5371.2,0.395,91.84166666666664,2.5083333333333333,98.8164625,100.70656666666667,5333.333333333333,4958.25,4785.333333333333,882.8683333333333,18804.91325,19141.67225,1.26158320570536,75380.0,59040.0,2016-12-31,2016.0,Herbalife,HLF,packaged-foods,consumer-defensive,24.06999969482422,1935000.0,77.0,13.833333333333334,2.0,1.3333333333333333,8.083333333333334,1.4166666666666667,1.0,0.0,6.083333333333333,6.166666666666667,1.9166666666666667,2.9166666666666665,17.333333333333332,50.8035299481621,4.268882143271854,1.5384799580507655,0.10028940191901595
2016-01-01,2016,3.6540384615384616,240.00541666666663,247.6035833333333,0.0066666666666666,0.8583333333333334,0.0,4.875,7751.333333333333,144331.91666666666,59.73333333333333,62.8,3270.5916666666667,12892.066666666666,5371.2,0.395,91.84166666666664,2.5083333333333333,98.8164625,100.70656666666667,5333.333333333333,4958.25,4785.333333333333,882.8683333333333,18804.91325,19141.67225,1.26158320570536,75380.0,59040.0,2016-12-31,2016.0,Primerica,PRI,insurance-life,financial-services,61.46628189086914,185600.0,77.0,13.833333333333334,2.0,1.3333333333333333,8.083333333333334,1.4166666666666667,1.0,0.0,6.083333333333333,6.166666666666667,1.9166666666666667,2.9166666666666665,17.333333333333332,50.8035299481621,4.268882143271854,1.5384799580507655,0.25610372775976575
2017-01-01,2017,3.989807692307693,245.121,252.1525,-0.0433333333333333,0.3333333333333333,0.0,4.358333333333333,6984.666666666667,146610.41666666666,60.125,62.85,3549.441666666667,13621.366666666669,5556.816666666667,1.0016666666666667,96.76666666666668,2.583333333333333,104.11548333333332,101.288625,5580.5,5119.583333333333,4949.833333333333,905.0433333333334,19612.1025,19612.1025,2.13011000365961,76710.0,61140.0,2017-12-31,2017.0,Etsy,ETSY,internet-retail,consumer-cyclical,20.450000762939453,1285900.0,79.5,21.5,4.0,2.833333333333333,10.083333333333334,2.0,1.0833333333333333,0.0,6.166666666666667,5.083333333333333,2.0,3.0,17.166666666666668,48.37493176792042,6.752534226601025,2.22180027279072,0.08342818756018233
2017-01-01,2017,3.989807692307693,245.121,252.1525,-0.0433333333333333,0.3333333333333333,0.0,4.358333333333333,6984.666666666667,146610.41666666666,60.125,62.85,3549.441666666667,13621.366666666669,5556.816666666667,1.0016666666666667,96.76666666666668,2.583333333333333,104.11548333333332,101.288625,5580.5,5119.583333333333,4949.833333333333,905.0433333333334,19612.1025,19612.1025,2.13011000365961,76710.0,61140.0,2017-12-31,2017.0,Shopify,SHOP,software-application,technology,10.100000381469728,7758000.0,79.5,21.5,4.0,2.833333333333333,10.083333333333334,2.0,1.0833333333333333,0.0,6.166666666666667,5.083333333333333,2.0,3.0,17.166666666666668,48.37493176792042,6.752534226601025,2.22180027279072,0.04120414155241586
2017-01-01,2017,3.989807692307693,245.121,252.1525,-0.0433333333333333,0.3333333333333333,0.0,4.358333333333333,6984.666666666667,146610.41666666666,60.125,62.85,3549.441666666667,13621.366666666669,5556.816666666667,1.0016666666666667,96.76666666666668,2.583333333333333,104.11548333333332,101.288625,5580.5,5119.583333333333,4949.833333333333,905.0433333333334,19612.1025,19612.1025,2.13011000365961,76710.0,61140.0,2017-12-31,2017.0,Herbalife,HLF,packaged-foods,consumer-defensive,33.86000061035156,1229000.0,79.5,21.5,4.0,2.833333333333333,10.083333333333334,2.0,1.0833333333333333,0.0,6.166666666666667,5.083333333333333,2.0,3.0,17.166666666666668,48.37493176792042,6.752534226601025,2.22180027279072,0.13813586192268945
2017-01-01,2017,3.989807692307693,245.121,252.1525,-0.0433333333333333,0.3333333333333333,0.0,4.358333333333333,6984.666666666667,146610.41666666666,60.125,62.85,3549.441666666667,13621.366666666669,5556.816666666667,1.0016666666666667,96.76666666666668,2.583333333333333,104.11548333333332,101.288625,5580.5,5119.583333333333,4949.833333333333,905.0433333333334,19612.1025,19612.1025,2.13011000365961,76710.0,61140.0,2017-12-31,2017.0,Primerica,PRI,insurance-life,financial-services,91.10659790039062,181100.0,79.5,21.5,4.0,2.833333333333333,10.083333333333334,2.0,1.0833333333333333,0.0,6.166666666666667,5.083333333333333,2.0,3.0,17.166666666666668,48.37493176792042,6.752534226601025,2.22180027279072,0.37168010044178434
2018-01-01,2018,4.544615384615384,251.0995,257.5614166666667,-0.0258333333333333,0.4116666666666666,0.0,3.891666666666666,6315.25,148893.66666666666,60.44166666666666,62.88333333333333,3707.0,14141.441666666666,5631.675,1.8316666666666668,98.36666666666667,2.8083333333333336,105.83700833333334,101.4531,6475.083333333333,5357.833333333333,5167.166666666667,934.36,20656.5155,20193.89525,2.44258329692817,77700.0,63180.0,2018-12-31,2018.0,Upwork,UPWK,internet-content-information,communication-services,18.11000061035156,337200.0,76.41666666666667,21.75,10.75,5.5,13.416666666666666,2.0,1.5,0.0,6.333333333333333,5.333333333333333,2.0,3.0,16.583333333333332,47.10973681953792,8.26276999908904,3.151598336805653,0.07212280633912675
2018-01-01,2018,4.544615384615384,251.0995,257.5614166666667,-0.0258333333333333,0.4116666666666666,0.0,3.891666666666666,6315.25,148893.66666666666,60.44166666666666,62.88333333333333,3707.0,14141.441666666666,5631.675,1.8316666666666668,98.36666666666667,2.8083333333333336,105.83700833333334,101.4531,6475.083333333333,5357.833333333333,5167.166666666667,934.36,20656.5155,20193.89525,2.44258329692817,77700.0,63180.0,2018-12-31,2018.0,Etsy,ETSY,internet-retail,consumer-cyclical,47.56999969482422,1527000.0,76.41666666666667,21.75,10.75,5.5,13.416666666666666,2.0,1.5,0.0,6.333333333333333,5.333333333333333,2.0,3.0,16.583333333333332,47.10973681953792,8.26276999908904,3.151598336805653,0.18944681170143396
2018-01-01,2018,4.544615384615384,251.0995,257.5614166666667,-0.0258333333333333,0.4116666666666666,0.0,3.891666666666666,6315.25,148893.66666666666,60.44166666666666,62.88333333333333,3707.0,14141.441666666666,5631.675,1.8316666666666668,98.36666666666667,2.8083333333333336,105.83700833333334,101.4531,6475.083333333333,5357.833333333333,5167.166666666667,934.36,20656.5155,20193.89525,2.44258329692817,77700.0,63180.0,2018-12-31,2018.0,Shopify,SHOP,software-application,technology,13.845000267028809,16842000.0,76.41666666666667,21.75,10.75,5.5,13.416666666666666,2.0,1.5,0.0,6.333333333333333,5.333333333333333,2.0,3.0,16.583333333333332,47.10973681953792,8.26276999908904,3.151598336805653,0.05513750631534037
2018-01-01,2018,4.544615384615384,251.0995,257.5614166666667,-0.0258333333333333,0.4116666666666666,0.0,3.891666666666666,6315.25,148893.66666666666,60.44166666666666,62.88333333333333,3707.0,14141.441666666666,5631.675,1.8316666666666668,98.36666666666667,2.8083333333333336,105.83700833333334,101.4531,6475.083333333333,5357.833333333333,5167.166666666667,934.36,20656.5155,20193.89525,2.44258329692817,77700.0,63180.0,2018-12-31,2018.0,Herbalife,HLF,packaged-foods,consumer-defensive,58.95000076293945,1013800.0,76.41666666666667,21.75,10.75,5.5,13.416666666666666,2.0,1.5,0.0,6.333333333333333,5.333333333333333,2.0,3.0,16.583333333333332,47.10973681953792,8.26276999908904,3.151598336805653,0.23476749560608226
2018-01-01,2018,4.544615384615384,251.0995,257.5614166666667,-0.0258333333333333,0.4116666666666666,0.0,3.891666666666666,6315.25,148893.66666666666,60.44166666666666,62.88333333333333,3707.0,14141.441666666666,5631.675,1.8316666666666668,98.36666666666667,2.8083333333333336,105.83700833333334,101.4531,6475.083333333333,5357.833333333333,5167.166666666667,934.36,20656.5155,20193.89525,2.44258329692817,77700.0,63180.0,2018-12-31,2018.0,Primerica,PRI,insurance-life,financial-services,88.48662567138672,221500.0,76.41666666666667,21.75,10.75,5.5,13.416666666666666,2.0,1.5,0.0,6.333333333333333,5.333333333333333,2.0,3.0,16.583333333333332,47.10973681953792,8.26276999908904,3.151598336805653,0.3523966621653437
2019-01-01,2019,3.935769230769231,255.65258333333333,263.2129166666667,0.0275,1.6049999999999998,0.0,3.675,5999.166666666667,150905.08333333334,60.78333333333333,63.1,3872.533333333333,14863.433333333334,5813.45,2.158333333333333,95.98333333333332,2.6083333333333334,103.27267583333332,101.23429166666666,6430.083333333333,5466.416666666667,5311.0,963.1325,21539.9815,20715.6715,1.81221007526021,83260.0,68700.0,2019-12-31,2019.0,Upwork,UPWK,internet-content-information,communication-services,10.670000076293944,1182600.0,76.75,23.83333333333333,24.25,7.0,16.416666666666668,2.25,1.75,0.5,6.166666666666667,4.916666666666667,1.9166666666666667,3.0,16.333333333333332,49.30424006046055,9.371124744405272,3.151824055329845,0.04173632801661086
2019-01-01,2019,3.935769230769231,255.65258333333333,263.2129166666667,0.0275,1.6049999999999998,0.0,3.675,5999.166666666667,150905.08333333334,60.78333333333333,63.1,3872.533333333333,14863.433333333334,5813.45,2.158333333333333,95.98333333333332,2.6083333333333334,103.27267583333332,101.23429166666666,6430.083333333333,5466.416666666667,5311.0,963.1325,21539.9815,20715.6715,1.81221007526021,83260.0,68700.0,2019-12-31,2019.0,Fiverr,FVRR,internet-content-information,communication-services,23.5,171700.0,76.75,23.83333333333333,24.25,7.0,16.416666666666668,2.25,1.75,0.5,6.166666666666667,4.916666666666667,1.9166666666666667,3.0,16.333333333333332,49.30424006046055,9.371124744405272,3.151824055329845,0.09192162149740321
