date,Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,passive income
2010-03-31,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.33333333333333,11.666666666666666,9.666666666666666,11.333333333333334,83.0,1.0
2010-06-30,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,84.66666666666667,12.666666666666666,9.666666666666666,11.0,92.66666666666667,1.0
2010-09-30,2.3333333333333335,0.0,0.0,0.0,0.3333333333333333,2.3333333333333335,0.0,0.0,85.33333333333333,12.666666666666666,9.0,11.0,95.33333333333333,1.0
2010-12-31,2.0,0.0,0.0,0.0,1.0,2.6666666666666665,0.0,0.0,87.0,11.0,7.666666666666667,11.0,87.66666666666667,1.0
2011-03-31,2.3333333333333335,0.0,0.0,0.0,1.0,3.0,0.0,0.0,85.33333333333333,12.333333333333334,9.333333333333334,10.333333333333334,81.66666666666667,1.0
2011-06-30,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,85.66666666666667,15.0,9.666666666666666,9.666666666666666,85.66666666666667,1.3333333333333333
2011-09-30,2.0,0.0,0.0,0.0,1.0,5.333333333333333,0.0,0.0,84.33333333333333,15.666666666666666,10.0,11.0,85.0,1.0
2011-12-31,2.0,0.0,0.0,0.0,1.0,5.666666666666667,0.0,0.0,81.33333333333333,13.666666666666666,7.666666666666667,10.0,79.33333333333333,1.0
2012-03-31,2.0,0.0,0.0,0.0,2.0,7.333333333333333,0.0,0.0,74.33333333333333,19.0,8.333333333333334,10.666666666666666,81.33333333333333,1.0
2012-06-30,3.0,0.0,0.0,0.0,2.0,8.333333333333334,0.0,0.0,76.66666666666667,21.0,8.333333333333334,10.333333333333334,83.0,1.0
2012-09-30,3.0,0.0,0.0,0.0,2.3333333333333335,14.666666666666666,0.0,0.0,81.0,21.0,8.333333333333334,10.666666666666666,84.33333333333333,1.0
2012-12-31,3.3333333333333335,0.0,0.0,0.0,3.0,10.0,0.0,0.0,72.66666666666667,19.0,6.666666666666667,11.333333333333334,74.66666666666667,1.0
2013-03-31,4.0,0.0,0.0,0.0,3.3333333333333335,11.0,0.0,0.0,70.0,29.666666666666668,8.0,11.666666666666666,76.66666666666667,1.3333333333333333
2013-06-30,4.666666666666667,1.0,0.0,0.0,3.3333333333333335,12.0,0.0,0.0,74.0,30.333333333333332,8.333333333333334,11.666666666666666,79.0,1.3333333333333333
2013-09-30,7.333333333333333,1.3333333333333333,0.0,0.0,3.3333333333333335,12.0,0.0,0.0,75.33333333333333,30.666666666666668,8.0,11.666666666666666,81.33333333333333,1.0
2013-12-31,9.666666666666666,2.0,0.0,0.0,4.666666666666667,12.333333333333334,0.0,0.3333333333333333,71.0,25.333333333333332,6.333333333333333,11.333333333333334,75.0,1.3333333333333333
2014-03-31,12.666666666666666,2.3333333333333335,0.0,0.0,7.333333333333333,14.0,0.0,0.6666666666666666,69.66666666666667,38.666666666666664,7.333333333333333,10.666666666666666,73.0,2.0
2014-06-30,21.0,4.333333333333333,0.0,0.6666666666666666,7.0,14.0,0.0,0.3333333333333333,73.0,35.333333333333336,7.666666666666667,11.333333333333334,78.0,2.0
2014-09-30,29.333333333333332,6.333333333333333,0.0,1.0,6.333333333333333,15.666666666666666,0.0,0.3333333333333333,77.66666666666667,28.333333333333332,7.666666666666667,12.333333333333334,76.66666666666667,1.6666666666666667
2014-12-31,35.666666666666664,4.666666666666667,0.0,1.0,7.333333333333333,16.0,0.0,0.0,71.0,19.666666666666668,6.333333333333333,12.0,68.33333333333333,1.6666666666666667
2015-03-31,36.0,5.0,0.0,1.0,8.333333333333334,16.333333333333332,0.0,0.3333333333333333,64.33333333333333,26.0,7.666666666666667,12.666666666666666,69.0,2.0
2015-06-30,52.333333333333336,5.0,0.3333333333333333,1.0,7.333333333333333,18.666666666666668,3.6666666666666665,1.0,70.33333333333333,24.0,8.0,12.666666666666666,77.66666666666667,2.0
2015-09-30,61.0,7.333333333333333,1.0,1.3333333333333333,7.666666666666667,19.0,9.333333333333334,1.0,77.0,23.666666666666668,9.333333333333334,13.0,76.33333333333333,2.0
2015-12-31,61.0,8.0,1.3333333333333333,1.6666666666666667,8.333333333333334,17.666666666666668,10.333333333333334,1.0,70.66666666666667,18.0,7.0,13.333333333333334,67.33333333333333,2.0
2016-03-31,68.33333333333333,9.666666666666666,1.0,1.3333333333333333,7.666666666666667,17.333333333333332,11.666666666666666,1.0,68.66666666666667,27.0,8.0,11.0,69.0,2.0
2016-06-30,74.66666666666667,12.666666666666666,2.0,1.0,7.333333333333333,19.333333333333332,13.0,1.0,72.33333333333333,29.333333333333332,8.333333333333334,10.666666666666666,78.66666666666667,2.0
2016-09-30,83.0,15.666666666666666,2.0,1.0,7.666666666666667,16.0,12.666666666666666,1.0,73.33333333333333,27.0,8.666666666666666,11.666666666666666,77.33333333333333,2.0
2016-12-31,80.33333333333333,16.666666666666668,3.0,2.0,10.0,16.0,12.0,1.0,66.0,18.0,7.333333333333333,11.333333333333334,66.66666666666667,2.0
2017-03-31,83.66666666666667,20.0,3.0,2.0,9.666666666666666,24.666666666666668,15.333333333333334,2.0,66.66666666666667,24.333333333333332,9.0,11.333333333333334,67.0,2.3333333333333335
2017-06-30,84.0,21.0,4.0,2.6666666666666665,10.333333333333334,22.0,15.666666666666666,2.0,71.0,24.0,9.0,11.0,75.33333333333333,2.3333333333333335
2017-09-30,79.66666666666667,22.666666666666668,4.0,3.3333333333333335,10.0,22.0,15.0,3.6666666666666665,72.0,21.333333333333332,9.333333333333334,12.0,74.33333333333333,2.6666666666666665
2017-12-31,70.33333333333333,21.666666666666668,4.666666666666667,4.0,10.0,19.666666666666668,15.0,3.6666666666666665,71.33333333333333,15.333333333333334,8.0,12.0,69.66666666666667,3.0
2018-03-31,76.33333333333333,22.0,6.666666666666667,5.333333333333333,11.666666666666666,24.333333333333332,17.666666666666668,3.6666666666666665,73.0,23.333333333333332,9.0,11.666666666666666,66.0,3.0
2018-06-30,77.33333333333333,21.666666666666668,9.0,5.0,12.666666666666666,23.0,17.0,4.0,71.33333333333333,25.0,8.666666666666666,11.666666666666666,70.66666666666667,3.3333333333333335
2018-09-30,81.0,22.666666666666668,12.333333333333334,5.333333333333333,13.333333333333334,26.0,16.333333333333332,4.333333333333333,73.66666666666667,23.0,8.666666666666666,12.333333333333334,75.0,3.3333333333333335
2018-12-31,73.66666666666667,21.0,15.666666666666666,6.0,16.333333333333332,24.666666666666668,15.666666666666666,4.0,66.66666666666667,17.0,7.0,12.333333333333334,65.33333333333333,3.0
2019-03-31,76.33333333333333,25.666666666666668,23.333333333333332,6.666666666666667,19.333333333333332,27.0,18.0,5.333333333333333,66.66666666666667,23.0,8.0,12.0,65.33333333333333,4.0
2019-06-30,87.33333333333333,28.0,25.333333333333332,7.0,16.0,29.333333333333332,19.333333333333332,5.666666666666667,70.0,24.0,9.0,11.666666666666666,73.66666666666667,3.3333333333333335
2019-09-30,75.0,21.333333333333332,25.333333333333332,7.0,14.333333333333334,29.333333333333332,20.333333333333332,6.0,73.33333333333333,21.333333333333332,9.0,12.0,72.0,4.0
2019-12-31,71.0,20.0,26.0,7.666666666666667,16.0,26.333333333333332,18.0,5.333333333333333,66.0,16.0,7.0,13.0,63.0,3.3333333333333335
2020-03-31,67.0,18.333333333333332,28.666666666666668,18.333333333333332,19.0,29.666666666666668,20.0,5.666666666666667,74.0,21.333333333333332,8.0,11.666666666666666,62.333333333333336,3.6666666666666665
2020-06-30,45.666666666666664,9.333333333333334,40.666666666666664,36.333333333333336,23.666666666666668,41.666666666666664,23.0,5.333333333333333,80.33333333333333,28.333333333333332,8.333333333333334,15.0,66.66666666666667,3.0
2020-09-30,45.333333333333336,10.333333333333334,39.666666666666664,16.0,18.333333333333332,42.666666666666664,22.333333333333332,6.0,71.0,26.333333333333332,8.0,14.333333333333334,69.0,4.0
2020-12-31,44.0,8.666666666666666,42.666666666666664,16.333333333333332,16.666666666666668,37.0,16.333333333333332,9.0,67.0,18.333333333333332,7.333333333333333,13.666666666666666,59.666666666666664,3.6666666666666665
2021-03-31,49.0,10.333333333333334,45.666666666666664,17.0,18.666666666666668,50.333333333333336,16.666666666666668,10.333333333333334,66.33333333333333,23.666666666666668,7.666666666666667,14.0,58.333333333333336,4.666666666666667
2021-06-30,52.666666666666664,11.666666666666666,44.333333333333336,13.666666666666666,15.666666666666666,41.333333333333336,15.0,10.0,72.0,24.666666666666668,7.333333333333333,11.666666666666666,69.33333333333333,5.0
2021-09-30,52.666666666666664,12.0,40.333333333333336,15.0,14.0,38.0,15.666666666666666,9.333333333333334,72.66666666666667,20.0,7.0,12.333333333333334,72.33333333333333,5.666666666666667
2021-12-31,51.666666666666664,10.666666666666666,39.333333333333336,15.666666666666666,13.666666666666666,38.666666666666664,15.666666666666666,9.666666666666666,65.33333333333333,16.0,6.666666666666667,13.0,66.0,5.666666666666667
2022-03-31,59.666666666666664,12.0,47.333333333333336,20.333333333333332,15.333333333333334,58.666666666666664,28.333333333333332,11.333333333333334,71.66666666666667,18.0,8.333333333333334,13.333333333333334,61.0,7.333333333333333
2022-06-30,61.0,12.333333333333334,45.0,17.0,13.333333333333334,55.333333333333336,28.666666666666668,14.666666666666666,78.66666666666667,16.0,7.333333333333333,12.333333333333334,64.66666666666667,7.0
2022-09-30,57.0,12.333333333333334,43.0,17.0,14.333333333333334,52.666666666666664,30.666666666666668,14.333333333333334,80.0,14.333333333333334,9.0,13.0,66.66666666666667,7.333333333333333
2022-12-31,54.333333333333336,11.666666666666666,42.333333333333336,16.666666666666668,11.666666666666666,49.333333333333336,28.666666666666668,13.333333333333334,74.0,10.666666666666666,7.0,13.0,56.333333333333336,6.333333333333333
2023-03-31,58.333333333333336,12.0,46.0,17.0,11.333333333333334,57.333333333333336,34.0,15.333333333333334,74.0,13.333333333333334,9.0,12.333333333333334,56.666666666666664,7.333333333333333
2023-06-30,61.333333333333336,12.0,42.666666666666664,16.0,11.0,53.0,33.0,15.0,77.66666666666667,12.0,9.0,14.666666666666666,62.666666666666664,7.666666666666667
2023-09-30,60.333333333333336,11.0,41.333333333333336,16.666666666666668,10.333333333333334,53.666666666666664,30.666666666666668,12.666666666666666,78.66666666666667,11.0,9.333333333333334,12.666666666666666,62.333333333333336,6.333333333333333
2023-12-31,60.333333333333336,10.666666666666666,41.333333333333336,15.0,8.666666666666666,45.333333333333336,26.333333333333332,11.666666666666666,77.66666666666667,8.333333333333334,7.666666666666667,12.333333333333334,56.0,5.333333333333333
2024-03-31,61.666666666666664,11.333333333333334,46.0,15.666666666666666,8.333333333333334,48.666666666666664,30.0,12.333333333333334,77.0,10.333333333333334,9.0,11.0,54.0,6.333333333333333
2024-06-30,62.666666666666664,10.333333333333334,42.333333333333336,14.666666666666666,8.666666666666666,44.333333333333336,29.666666666666668,11.666666666666666,79.66666666666667,10.0,8.666666666666666,11.0,60.333333333333336,5.333333333333333
2024-09-30,62.0,10.666666666666666,41.0,13.666666666666666,8.0,46.0,28.0,10.666666666666666,81.66666666666667,8.333333333333334,9.0,12.666666666666666,59.333333333333336,4.666666666666667
2024-12-31,59.0,10.0,40.666666666666664,14.0,7.333333333333333,39.333333333333336,23.0,9.666666666666666,75.0,7.0,7.0,14.0,52.666666666666664,4.0
2025-03-31,60.333333333333336,10.666666666666666,45.666666666666664,14.666666666666666,6.666666666666667,44.0,27.333333333333332,10.666666666666666,77.66666666666667,7.666666666666667,8.666666666666666,10.333333333333334,49.333333333333336,5.0
2025-06-30,63.666666666666664,10.666666666666666,45.0,13.333333333333334,6.0,44.0,27.666666666666668,10.666666666666666,81.33333333333333,8.0,7.666666666666667,9.666666666666666,57.333333333333336,5.0
2025-09-30,68.66666666666667,11.666666666666666,49.0,14.0,7.0,48.0,30.333333333333332,10.0,95.0,7.666666666666667,7.333333333333333,10.666666666666666,60.333333333333336,6.666666666666667
2025-12-31,66.66666666666667,12.0,53.0,13.666666666666666,7.0,40.0,26.0,10.666666666666666,93.33333333333333,6.333333333333333,7.0,11.0,55.333333333333336,5.333333333333333
